id,post_id,donor_id,donor_name,recipient_id,recipient_name,contribution,services_rendered,year,candidate_id,candidate_name
104476,159649,22281,"F.M. Kirby Foundation",1534,"Jamestown Foundation",5000,,2012,,
104477,159650,22281,"F.M. Kirby Foundation",17947,"Jersey Battered Women's Service",85000,,2012,,
104478,159651,22281,"F.M. Kirby Foundation",22470,"Jersey Cares Inc.",15000,,2012,,
104479,159652,22281,"F.M. Kirby Foundation",22344,"Kennedy Drieger Institute",200000,,2012,,
104480,159653,22281,"F.M. Kirby Foundation",22586,"Key West Council On The Arts",5000,,2012,,
104481,159654,22281,"F.M. Kirby Foundation",22589,"Key West Wild Bird Center",5200,,2012,,
104482,159655,22281,"F.M. Kirby Foundation",22568,"Kidzu Children's Museum",7500,,2012,,
104483,159656,22281,"F.M. Kirby Foundation",22576,"Kieve-Wavus Education",25000,,2012,,
104484,159657,22281,"F.M. Kirby Foundation",939,"Leadership Institute",90000,,2012,,
104485,159658,22281,"F.M. Kirby Foundation",9216,"Learning Ally",30000,,2012,,
104486,159659,22281,"F.M. Kirby Foundation",22345,"Leukemia &amp; Lymphoma Society - Northern New Jersey Chapter",150000,,2012,,
104487,159660,22281,"F.M. Kirby Foundation",863,"Lexington Institute",35000,,2012,,
104488,159661,22281,"F.M. Kirby Foundation",22492,"Liberty Science Center",35000,,2012,,
104489,159662,22281,"F.M. Kirby Foundation",7395,"Lincoln Center for the Performing Arts",35000,,2012,,
104490,159663,22281,"F.M. Kirby Foundation",14677,"Lincoln Center Theater",35000,,2012,,
104491,159664,22281,"F.M. Kirby Foundation",22439,"Literacy Volunteers of Morris County",15000,,2012,,
104492,159665,22281,"F.M. Kirby Foundation",22349,"Macculloch Hall Historical Museum",30000,,2012,,
104493,159666,22281,"F.M. Kirby Foundation",22350,"Madison Area YMCA",85000,,2012,,
104494,159667,22281,"F.M. Kirby Foundation",867,"Manhattan Institute for Policy Research",85000,,2012,,
104495,159668,22281,"F.M. Kirby Foundation",22569,"Marian Sutherland Kirby Library",70000,,2012,,
104496,159669,22281,"F.M. Kirby Foundation",22351,"Market Street Mission",55000,,2012,,
104497,159670,22281,"F.M. Kirby Foundation",17961,"Mayo Performing Arts Center",250000,,2012,,
104498,159671,22281,"F.M. Kirby Foundation",4948,"Memorial Sloan-Kettering Cancer Center",400000,,2012,,
104499,159672,22281,"F.M. Kirby Foundation",22354,"Mental Health Association of Morris County",12500,,2012,,
104500,159673,22281,"F.M. Kirby Foundation",22548,"Morris Habitat for Humanity",40000,,2012,,
104501,159674,22281,"F.M. Kirby Foundation",19064,"Morris Museum",70000,,2012,,
104502,159675,22281,"F.M. Kirby Foundation",22127,"Morristown Neighborhood House Association",70000,,2012,,
104503,159676,22281,"F.M. Kirby Foundation",22360,"Mountaintop Hose Company No. 1",10000,,2012,,
104504,159677,22281,"F.M. Kirby Foundation",22521,"Museum of Arts and Design",22500,,2012,,
104505,159678,22281,"F.M. Kirby Foundation",22362,"Museum of Early Trades and Crafts",20000,,2012,,
104506,159679,22281,"F.M. Kirby Foundation",7134,"Museum of Modern Art",20000,,2012,,
104507,159680,22281,"F.M. Kirby Foundation",1344,"National Association of Scholars",40000,,2012,,
104508,159681,22281,"F.M. Kirby Foundation",4154,"National Constitution Center",85000,,2012,,
104509,159682,22281,"F.M. Kirby Foundation",9240,"National Council for Adoption",45000,,2012,,
104510,159683,22281,"F.M. Kirby Foundation",4203,"National Fatherhood Initiative",65000,,2012,,
104511,159684,22281,"F.M. Kirby Foundation",22364,"National Football Foundation and College Hall of Fame",100000,,2012,,
104512,159685,22281,"F.M. Kirby Foundation",877,"National Right to Work Legal Defense Foundation",95000,,2012,,
104513,159686,22281,"F.M. Kirby Foundation",7865,"National Shingles Foundation",70000,,2012,,
104514,159687,22281,"F.M. Kirby Foundation",1467,"Negative Population Growth",15000,,2012,,
104515,159688,22281,"F.M. Kirby Foundation",1398,"Network For Teaching Entrepreneurship",90000,,2012,,
104516,159689,22281,"F.M. Kirby Foundation",22590,"New Jersey AIDS Services",10000,,2012,,
104517,159690,22281,"F.M. Kirby Foundation",22442,"New Jersey Audubon Society",37500,,2012,,
104518,159691,22281,"F.M. Kirby Foundation",22531,"New Jersey Ballet Company",5000,,2012,,
104519,159692,22281,"F.M. Kirby Foundation",22577,"New Jersey Chamber of Commerce Foundation",20000,,2012,,
104520,159693,22281,"F.M. Kirby Foundation",22368,"New Jersey Conservation Foundation",100000,,2012,,
104521,159694,22281,"F.M. Kirby Foundation",22369,"New Jersey GASP",60000,,2012,,
104522,159695,22281,"F.M. Kirby Foundation",22370,"New Jersey Health Foundation",225000,,2012,,
104523,159696,22281,"F.M. Kirby Foundation",17978,"New Jersey Performing Arts Center",20000,,2012,,
104524,159697,22281,"F.M. Kirby Foundation",19068,"New Jersey SEEDS",25000,,2012,,
104525,159698,22281,"F.M. Kirby Foundation",22477,"New Jersey Theatre Alliance",17500,,2012,,
104526,159699,22281,"F.M. Kirby Foundation",22372,"New York Blood Center",100000,,2012,,
104527,159700,22281,"F.M. Kirby Foundation",7133,"New York Botanical Garden",20000,,2012,,
104528,159701,22281,"F.M. Kirby Foundation",5974,"New York City Ballet",20000,,2012,,
104529,159702,22281,"F.M. Kirby Foundation",16975,"Newark Academy (Livingston NJ)",250000,,2012,,
104530,159703,22281,"F.M. Kirby Foundation",22373,"Newark Boys Chorus School",25000,,2012,,
104531,159704,22281,"F.M. Kirby Foundation",22587,"Newark Public Radio",15000,,2012,,
104532,159705,22281,"F.M. Kirby Foundation",22550,"NewBridge Services",17500,,2012,,
104533,159706,22281,"F.M. Kirby Foundation",7300,"Nightingale-Bamford School",10000,,2012,,
104534,159707,22281,"F.M. Kirby Foundation",12434,"North Carolina Coastal Land Trust",20000,,2012,,
104535,159708,22281,"F.M. Kirby Foundation",22551,"North Carolina Public Radio",25000,,2012,,
104536,159709,22281,"F.M. Kirby Foundation",3276,"North Carolina State University",25000,,2012,,
104537,159710,22281,"F.M. Kirby Foundation",22591,"Old Baldy Foundation",20000,,2012,,
